"Ref","Status","OccCode","OccDescription","Refund","Estimate","TaxIncome","LodgeDate"
"","0","","","","0.00","0",""
"ACCO0001","0","","","","0.00","0",""
"ACCO0001","0","","","","0.00","0",""
"ACCO0002","0","","","","0.00","0",""
"ADAM0001","6","441312","Police officer","Y","1664.42","111564","28/07/2023"
"ADAM0002","10","","","","0.00","0",""
"ADAM0003","6","441312","Police officer","Y","643.96","75261","19/07/2023"
"AKNA0001","6","441312","Police officer","","3166.90","90411","22/07/2023"
"ALAM0001","6","441312","Police officer","Y","718.33","104462","02/08/2023"
"ALEX0001","10","","","","0.00","0",""
"ALLA0001","10","","","","0.00","0",""
"ALLS0001","10","","","","0.00","0",""
"AMOR0001","10","","","","0.00","0",""
"ANDE0001","10","","","","0.00","0",""
"ANDR0001","10","","","","0.00","0",""
"ANDR0002","10","","","","0.00","0",""
"ANDR0003","10","","","","0.00","0",""
"ANDR0004","6","441312","Police officer","Y","2775.36","102192","08/07/2023"
"ANGU0001","10","","","","0.00","0",""
"ANGU0003","6","221111","Assistant accountant","","804.00","68887","05/08/2023"
"ANGU0004","0","","","","0.00","0",""
"ANGU0005","10","721214","Excavator operator","","0.00","0",""
"ANGU0006","10","","","","0.00","0",""
"ANGU0007","0","","","","0.00","0",""
"ANIL0001","4","241213","School teacher","","2399.50","84372",""
"ANNA0001","6","441312","Police officer","Y","23.14","101443","02/08/2023"
"APOS0001","6","441312","Police officer","Y","796.27","97863","22/07/2023"
"APOS0002","6","451711","Airline steward","Y","2272.49","60807","22/07/2023"
"ARAN0001","10","","","","0.00","0",""
"ARAN0002","10","","","","0.00","0",""
"ARDL0001","0","","","","0.00","0",""
"ARMS0001","6","441312","Police officer","Y","2862.20","140420","11/08/2023"
"ARMS0002","6","223112","Recruitment consultant","Y","2544.14","132074","11/08/2023"
"ARNF0001","6","441312","Police officer","Y","1006.65","91853","07/08/2023"
"ARSI0001","10","","","","0.00","0",""
"ASHE0001","10","","","","0.00","0",""
"ASHE0002","10","","","","0.00","0",""
"ASHT0001","10","","","","0.00","0",""
"ASPI0001","10","","","","0.00","0",""
"ASQU0001","10","","","","0.00","0",""
"ATCH0001","0","","","","0.00","0",""
"AULI0001","10","","","","0.00","0",""
"AUST0001","6","441312","Police officer","Y","1026.09","115278","19/07/2023"
"AVAG0001","0","","","","0.00","0",""
"AXIA0001","6","441312","Police officer","","931.70","89164","26/07/2023"
"BAGN0001","10","","","","0.00","0",""
